iter,field_added,num_fields,insert_wall_s,rows_per_s,flush_s,vec_idx_s,scalar_idx_total_s,compaction_s,load_wall_s,baseline_rss_gb,loaded_rss_gb,rss_delta_gb,minio_logical_gb,insert_log_gb,index_files_gb,volume_used_gb,volume_free_gb,segment_count,num_entities,compaction_settled,iter_wall_s
0,baseline,2,217.6,45740.9,1.2,0.0,0.0,270.0,10.2,0.851,6.978,6.127,8.805,2.577,3.114,192.5,357.0,5,9954348,True,822.2
1,n,3,209.3,47556.5,1.7,0.0,0.0,210.0,10.0,0.93,7.074,6.144,11.811,2.577,3.114,193.7,355.8,5,9954348,True,793.0
2,ean,4,212.0,46963.1,1.7,0.0,0.0,240.0,9.9,0.891,7.27,6.379,15.032,2.684,3.114,202.8,346.6,5,9954348,True,809.3
3,article_number,5,212.3,46877.5,1.7,0.0,0.0,300.0,9.6,0.899,7.391,6.492,18.254,2.792,3.114,204.6,344.9,5,9954348,True,870.6
4,manufacturerName,6,220.2,45212.9,1.2,0.0,0.0,300.0,9.8,0.94,7.599,6.659,21.475,2.792,3.114,205.5,344.0,5,9954348,True,877.8
5,manufacturerArticleNumber,7,236.0,42181.9,1.2,0.0,0.0,330.0,11.1,0.921,7.672,6.751,25.77,2.899,3.114,209.6,339.9,5,9954348,True,926.7
6,manufacturerArticleType,8,253.5,39272.6,1.6,0.0,0.0,240.0,10.3,0.955,7.778,6.823,28.991,2.899,3.114,214.5,335.0,6,9954348,True,869.7
7,name,9,253.2,39312.3,2.7,0.0,0.0,270.0,9.7,1.023,8.499,7.476,34.36,3.221,3.114,218.7,330.8,6,9954348,True,888.3
8,vendor_ids,10,329.3,30226.6,2.6,0.0,0.0,180.0,10.5,1.062,9.063,8.001,38.655,3.221,3.114,224.2,325.3,6,9954348,True,933.5
9,category_l1..l5,15,622.3,15996.8,1.7,0.0,0.0,150.1,14.1,1.224,11.854,10.63,46.171,3.865,3.329,232.7,316.8,9,9954348,True,1267.3
10,catalog_version_ids,16,708.3,14054.4,1.7,0.0,0.0,90.1,17.1,1.267,13.347,12.08,54.761,4.295,3.329,244.1,305.4,9,9954348,True,1369.4
11,description,17,1900.4,5237.9,1.7,0.0,0.0,30.0,20.3,1.457,18.554,17.097,69.793,6.55,3.329,259.1,290.4,14,9954348,True,2519.5
